Buffer size (KB) , Time (ns)

L1 
1	    3.08
2	    3.46
4	    3.41
8	    3.43
16	    4.02
32	    5.70

L2
64	    18.88
128	    18.15
256	    18.66
512	    14.45

L3
1024	31.31
2048	51.83
4096	62.33
8192	69.53

DRAM
16384	137.06
32768	159.91
65536	165.93
131072	169.60
262144	184.20
524288	175.89
