1,0.003522,3.36
2,0.002449,2.34
4,0.002463,2.35
8,0.002736,2.61
16,0.007102,6.77
32,0.003492,3.33
64,0.018263,17.42
128,0.015940,15.20
256,0.020234,19.30
512,0.015052,14.36
1024,0.019562,18.66
2048,0.065831,62.79
4096,0.070990,67.71
8192,0.071852,68.53
16384,0.131124,125.06
32768,0.164514,156.90
65536,0.161881,154.39
131072,0.172008,164.05
262144,0.182463,174.02
524288,0.166210,158.52
1,0.002401,2.29
2,0.001770,1.69
4,0.001768,1.69
8,0.001781,1.70
16,0.001882,1.79
32,0.003300,3.15
64,0.016120,15.37
128,0.027214,25.96
256,0.027658,26.38
512,0.024582,23.44
1024,0.025359,24.19
2048,0.048205,45.98
4096,0.043225,41.23
8192,0.101666,96.96
16384,0.109129,104.08
32768,0.138041,131.66
65536,0.143077,136.46
131072,0.140809,134.30
262144,0.145838,139.09
524288,0.159313,151.94
1,0.002486,2.37
2,0.001745,1.66
4,0.001772,1.69
8,0.001795,1.71
16,0.001793,1.71
32,0.002566,2.45
64,0.010294,9.82
128,0.017417,16.61
256,0.025272,24.10
512,0.020021,19.09
1024,0.039101,37.29
2048,0.053728,51.24
4096,0.062135,59.26
8192,0.065618,62.58
16384,0.099678,95.07
32768,0.132752,126.61
65536,0.136046,129.75
131072,0.144125,137.46
262144,0.151911,144.88
524288,0.161933,154.44
1,0.002409,2.30
2,0.001768,1.69
4,0.001768,1.69
8,0.001777,1.69
16,0.002154,2.05
32,0.002590,2.47
64,0.007369,7.03
128,0.008715,8.31
256,0.022690,21.64
512,0.021702,20.70
1024,0.029816,28.44
2048,0.053631,51.15
4096,0.058589,55.88
8192,0.067679,64.55
16384,0.103506,98.72
32768,0.140127,133.65
65536,0.133177,127.02
131072,0.140361,133.87
262144,0.149143,142.24
524288,0.163737,156.16
1,0.002475,2.36
2,0.002402,2.29
4,0.001820,1.74
8,0.001776,1.69
16,0.002144,2.04
32,0.003627,3.46
64,0.024936,23.78
128,0.022289,21.26
256,0.019309,18.42
512,0.024680,23.54
1024,0.033680,32.12
2048,0.050832,48.48
4096,0.070363,67.11
8192,0.061996,59.13
16384,0.120172,114.61
32768,0.130692,124.65
65536,0.136662,130.34
131072,0.146018,139.26
262144,0.146133,139.37
524288,0.146218,139.45
1,0.002537,2.42
2,0.001908,1.82
4,0.001642,1.57
8,0.001746,1.67
16,0.002173,2.07
32,0.002121,2.02
64,0.011546,11.01
128,0.014563,13.89
256,0.022202,21.18
512,0.016887,16.11
1024,0.039899,38.05
2048,0.059100,56.37
4096,0.064039,61.08
8192,0.063501,60.56
16384,0.111232,106.09
32768,0.133656,127.47
65536,0.137164,130.82
131072,0.131839,125.74
262144,0.146490,139.71
524288,0.158260,150.94
1,0.001758,1.68
2,0.001951,1.86
4,0.001785,1.70
8,0.001786,1.70
16,0.002351,2.24
32,0.002655,2.53
64,0.012052,11.49
128,0.023103,22.03
256,0.016740,15.97
512,0.026123,24.91
1024,0.029237,27.88
2048,0.047847,45.63
4096,0.052254,49.84
8192,0.068340,65.18
16384,0.117362,111.93
32768,0.136822,130.49
65536,0.135869,129.58
131072,0.145337,138.61
262144,0.172081,164.12
524288,0.191252,182.41
1,0.002448,2.33
2,0.002087,1.99
4,0.001765,1.68
8,0.002314,2.21
16,0.001830,1.75
32,0.002286,2.18
64,0.011947,11.39
128,0.016611,15.84
256,0.016895,16.11
512,0.035349,33.71
1024,0.039681,37.85
2048,0.053088,50.63
4096,0.083696,79.82
8192,0.074146,70.72
16384,0.133163,127.00
32768,0.142494,135.90
65536,0.138257,131.86
